_object	#	Pid	_object	Spectrum	PeakList	Assign F1	Assign F2	Pos F1	Pos F2	LW F1 (Hz)	LW F2 (Hz)	Height	HeightError	S/N	Volume	VolumeError	ClusterId	Merit	Annotation	Comment
<PK:58-581.1.79: @(1.415, 87.67)>	79	PK:58-581.1.79	<PK:58-581.1.79: @(1.415, 87.67)>	58-581	1			1.414649434426634	87.67475966409293	24.028231377880505	72.07539124086564	259447.03125			None		None	1.0		
<PK:58-581.1.80: @(0.846, 87.67)>	80	PK:58-581.1.80	<PK:58-581.1.80: @(0.846, 87.67)>	58-581	1			0.8463682538340027	87.6736283501683	23.113778577401053	66.48866293829121	340011.59375			None		None	1.0		
<PK:58-581.1.81: @(0.367, 87.69)>	81	PK:58-581.1.81	<PK:58-581.1.81: @(0.367, 87.69)>	58-581	1			0.3665597342402158	87.68845242665115	23.766574509537335	68.55183579755976	171078.296875			None		None	1.0		
<PK:58-581.1.82: @(0.918, 87.6)>	82	PK:58-581.1.82	<PK:58-581.1.82: @(0.918, 87.6)>	58-581	1			0.918479255754221	87.60446041789467	22.615779203195565	69.82852326494286	338111.34375			None		None	1.0		
<PK:58-581.1.83: @(0.431, 87.51)>	83	PK:58-581.1.83	<PK:58-581.1.83: @(0.431, 87.51)>	58-581	1			0.4311032299104731	87.50904686125214	31.464586917979545	72.48578011816942	62525.96484375			None		None	1.0		
<PK:58-581.1.84: @(1.283, 87.39)>	84	PK:58-581.1.84	<PK:58-581.1.84: @(1.283, 87.39)>	58-581	1			1.2829648385665067	87.38809501978184	50.454669130536146	97.14993314411555	386954.78125			None		None	1.0		
<PK:58-581.1.85: @(4.011, 87.26)>	85	PK:58-581.1.85	<PK:58-581.1.85: @(4.011, 87.26)>	58-581	1			4.010623328226185	87.25741538125384	46.464763820553365	135.23746570498056	44511.25390625			None		None	1.0		
<PK:58-581.1.86: @(3.616, 87.0)>	86	PK:58-581.1.86	<PK:58-581.1.86: @(3.616, 87.0)>	58-581	1			3.6163326257989326	87.00147009607237	42.093699821867936	76.63523693347122	36216.8203125			None		None	1.0		
<PK:58-581.1.87: @(1.11, 86.86)>	87	PK:58-581.1.87	<PK:58-581.1.87: @(1.11, 86.86)>	58-581	1			1.1096781918823595	86.85766227859557	26.201626333670696	73.12616723158658	208105.203125			None		None	1.0		
<PK:58-581.1.88: @(0.76, 86.39)>	88	PK:58-581.1.88	<PK:58-581.1.88: @(0.76, 86.39)>	58-581	1			0.7602267947573296	86.38673192709167	35.21515725132741	69.57467885486972	150142.625			None		None	1.0		
