_object	#	Assign F1	Assign F2	Pos F1	Pos F2	LW F1 (Hz)	LW F2 (Hz)	Height	S/N	Volume	ClusterId	Merit	Annotation	Comment
<PK:4-1.1.14955: @(3.102, 53.09)>	14955			3.1023238365174954	53.09327035754829	14.604120037685579	75.81340311014131	-2331.9248046875	-1.3603876541178992	None	None	1.0		
<PK:4-1.1.14956: @(1.625, 41.06)>	14956			1.624784966039611	41.06346794277191	36.562825791919785	58.038681543067725	49226.91796875	28.717774827193185	None	None	1.0		
<PK:4-1.1.14957: @(1.665, 40.2)>	14957			1.6647721153783461	40.19983509490548	37.499978087651364	62.01635013617897	35067.73828125	20.457657176489942	None	None	1.0		
<PK:4-1.1.14958: @(1.665, 40.2)>	14958			1.6647721153783461	40.19983509490548	37.499978087651364	62.01635013617897	35067.73828125	20.457657176489942	None	None	1.0		
<PK:4-1.1.14959: @(1.43, 41.07)>	14959			1.429849434824762	41.0710909138109	34.20953782132033	48.14697793968344	41016.4765625	23.928004976352003	None	None	1.0		
<PK:4-1.1.14960: @(2.668, 40.5)>	14960			2.6680068755361095	40.49918632283871	35.27837077107944	48.291818846179076	67662.015625	39.47235799540179	None	None	1.0		
<PK:4-1.1.14961: @(2.628, 39.84)>	14961			2.6277776940617628	39.83963742794373	34.32465466455766	81.72976136531516	38586.02734375	22.510140599035136	None	None	1.0		
<PK:4-1.1.14962: @(2.628, 39.84)>	14962			2.6277776940617628	39.83963742794373	34.32465466455766	81.72976136531516	38586.02734375	22.510140599035136	None	None	1.0		
<PK:4-1.1.14963: @(2.592, 38.86)>	14963			2.59247681131124	38.85908940163646	31.04278137190979	47.89840085836855	79479.59375	46.366442809160674	None	None	1.0		
<PK:4-1.1.14964: @(2.592, 38.86)>	14964			2.59247681131124	38.85908940163646	31.04278137190979	47.89840085836855	79479.59375	46.366442809160674	None	None	1.0		
<PK:4-1.1.14965: @(2.835, 40.28)>	14965			2.8349283816844597	40.27548865167848	34.888119747241284	43.542129392533184	125830.3515625	73.40633644568972	None	None	1.0		
<PK:4-1.1.14966: @(2.866, 39.87)>	14966			2.8656202605731806	39.87172099751561	44.27811692062854	43.34661239029271	114175.453125	66.60715496586592	None	None	1.0		
<PK:4-1.1.14967: @(2.866, 39.87)>	14967			2.8656202605731806	39.87172099751561	44.27811692062854	43.34661239029271	114175.453125	66.60715496586592	None	None	1.0		
<PK:4-1.1.14968: @(2.864, 38.53)>	14968			2.863621061394783	38.53395838327663	36.6236035449382	50.64546839212592	21397.998046875	12.483066481086052	None	None	1.0		
<PK:4-1.1.14969: @(2.864, 38.53)>	14969			2.863621061394783	38.53395838327663	36.6236035449382	50.64546839212592	21397.998046875	12.483066481086052	None	None	1.0		
<PK:4-1.1.14970: @(2.828, 37.92)>	14970			2.827945617189574	37.91846507494991	64.73202329988654	78.32434494048354	19606.576171875	11.437994960268586	None	None	1.0		
